t,Fthrust,Fdrag,m,v,Mach,a,altitude,twr,maxV,maxMach,maxAcc,minAcc,maxG,minG
1.09,500.0,4.19246,15.73028,23.66572,0.06964,21.71097,125.88938,3.23982,23.66572,0.06964,21.74063,0,2.21693,0
1.1,500.0,4.26964,15.72867,23.88282,0.07028,21.70932,126.12712,3.24015,23.88282,0.07028,21.74063,0,2.21693,0
1.11,500.0,4.34751,15.72707,24.09989,0.07092,21.70762,126.36703,3.24048,24.09989,0.07092,21.74063,0,2.21693,0
1.12,500.0,4.42607,15.72547,24.31695,0.07156,21.70588,126.60912,3.24081,24.31695,0.07156,21.74063,0,2.21693,0
1.13,500.0,4.50533,15.72386,24.53399,0.0722,21.7041,126.85337,3.24114,24.53399,0.0722,21.74063,0,2.21693,0
1.14,500.0,4.58528,15.72226,24.75102,0.07284,21.70227,127.0998,3.24147,24.75102,0.07284,21.74063,0,2.21693,0
1.15,500.0,4.66592,15.72066,24.96802,0.07348,21.7004,127.34839,3.2418,24.96802,0.07348,21.74063,0,2.21693,0
1.16,500.0,4.74726,15.71906,25.185,0.07412,21.69848,127.59916,3.24213,25.185,0.07412,21.74063,0,2.21693,0
1.17,500.0,4.82929,15.71745,25.40197,0.07476,21.69652,127.85209,3.24246,25.40197,0.07476,21.74063,0,2.21693,0
1.18,500.0,4.91201,15.71585,25.61891,0.07539,21.69451,128.1072,3.24279,25.61891,0.07539,21.74063,0,2.21693,0
1.19,500.0,4.99542,15.71425,25.83584,0.07603,21.69246,128.36447,3.24312,25.83584,0.07603,21.74063,0,2.21693,0
1.2,500.0,5.07952,15.71264,26.05274,0.07667,21.69037,128.62391,3.24345,26.05274,0.07667,21.74063,0,2.21693,0
1.21,500.0,5.16432,15.71104,26.26963,0.07731,21.68823,128.88553,3.24378,26.26963,0.07731,21.74063,0,2.21693,0
1.22,500.0,5.2498,15.70944,26.48649,0.07795,21.68604,129.14931,3.24411,26.48649,0.07795,21.74063,0,2.21693,0
1.23,500.0,5.33597,15.70784,26.70332,0.07859,21.68382,129.41526,3.24444,26.70332,0.07859,21.74063,0,2.21693,0
1.24,500.0,5.42284,15.70623,26.92014,0.07923,21.68154,129.68337,3.24478,26.92014,0.07923,21.74063,0,2.21693,0
1.25,500.0,5.51039,15.70463,27.13693,0.07986,21.67923,129.95366,3.24511,27.13693,0.07986,21.74063,0,2.21693,0
1.26,500.0,5.59863,15.70303,27.3537,0.0805,21.67687,130.22611,3.24544,27.3537,0.0805,21.74063,0,2.21693,0
1.27,500.0,5.68755,15.70143,27.57044,0.08114,21.67446,130.50073,3.24577,27.57044,0.08114,21.74063,0,2.21693,0
1.28,500.0,5.77717,15.69982,27.78716,0.08178,21.67201,130.77752,3.2461,27.78716,0.08178,21.74063,0,2.21693,0
1.29,500.0,5.86747,15.69822,28.00386,0.08242,21.66952,131.05648,3.24643,28.00386,0.08242,21.74063,0,2.21693,0
1.3,500.0,5.95845,15.69662,28.22053,0.08305,21.66698,131.3376,3.24676,28.22053,0.08305,21.74063,0,2.21693,0
1.31,500.0,6.05012,15.69501,28.43717,0.08369,21.6644,131.62089,3.24709,28.43717,0.08369,21.74063,0,2.21693,0
1.32,500.0,6.14248,15.69341,28.65379,0.08433,21.66177,131.90634,3.24743,28.65379,0.08433,21.74063,0,2.21693,0
1.33,500.0,6.23552,15.69181,28.87038,0.08497,21.6591,132.19396,3.24776,28.87038,0.08497,21.74063,0,2.21693,0
1.34,500.0,6.32924,15.69021,29.08695,0.0856,21.65638,132.48375,3.24809,29.08695,0.0856,21.74063,0,2.21693,0
1.35,500.0,6.42365,15.6886,29.30348,0.08624,21.65363,132.7757,3.24842,29.30348,0.08624,21.74063,0,2.21693,0
1.36,500.0,6.51873,15.687,29.51999,0.08688,21.65082,133.06982,3.24875,29.51999,0.08688,21.74063,0,2.21693,0
1.37,500.0,6.61451,15.6854,29.73647,0.08752,21.64797,133.3661,3.24909,29.73647,0.08752,21.74063,0,2.21693,0
1.38,500.0,6.71096,15.68379,29.95292,0.08815,21.64508,133.66455,3.24942,29.95292,0.08815,21.74063,0,2.21693,0
1.39,500.0,6.80809,15.68219,30.16934,0.08879,21.64215,133.96516,3.24975,30.16934,0.08879,21.74063,0,2.21693,0
1.4,500.0,6.9059,15.68059,30.38573,0.08943,21.63917,134.26793,3.25008,30.38573,0.08943,21.74063,0,2.21693,0
1.41,500.0,7.00439,15.67899,30.6021,0.09007,21.63615,134.57287,3.25041,30.6021,0.09007,21.74063,0,2.21693,0
1.42,500.0,7.10356,15.67738,30.81843,0.0907,21.63308,134.87998,3.25075,30.81843,0.0907,21.74063,0,2.21693,0
1.43,500.0,7.20341,15.67578,31.03473,0.09134,21.62997,135.18924,3.25108,31.03473,0.09134,21.74063,0,2.21693,0
1.44,500.0,7.30394,15.67418,31.25099,0.09198,21.62681,135.50067,3.25141,31.25099,0.09198,21.74063,0,2.21693,0
1.45,500.0,7.40514,15.67258,31.46723,0.09261,21.62361,135.81426,3.25174,31.46723,0.09261,21.74063,0,2.21693,0
1.46,500.0,7.50702,15.67097,31.68343,0.09325,21.62037,136.13001,3.25208,31.68343,0.09325,21.74063,0,2.21693,0
1.47,500.0,7.60958,15.66937,31.89961,0.09389,21.61708,136.44793,3.25241,31.89961,0.09389,21.74063,0,2.21693,0
1.48,500.0,7.71281,15.66777,32.11574,0.09452,21.61375,136.76801,3.25274,32.11574,0.09452,21.74063,0,2.21693,0
1.49,500.0,7.81671,15.66616,32.33185,0.09516,21.61038,137.09024,3.25307,32.33185,0.09516,21.74063,0,2.21693,0
1.5,500.0,7.92129,15.66456,32.54792,0.0958,21.60696,137.41464,3.25341,32.54792,0.0958,21.74063,0,2.21693,0
1.51,500.0,8.02654,15.66296,32.76395,0.09643,21.6035,137.7412,3.25374,32.76395,0.09643,21.74063,0,2.21693,0
1.52,500.0,8.13247,15.66136,32.97995,0.09707,21.6,138.06992,3.25407,32.97995,0.09707,21.74063,0,2.21693,0
1.53,500.0,8.23906,15.65975,33.19592,0.0977,21.59645,138.4008,3.25441,33.19592,0.0977,21.74063,0,2.21693,0
1.54,500.0,8.34633,15.65815,33.41184,0.09834,21.59285,138.73384,3.25474,33.41184,0.09834,21.74063,0,2.21693,0
