	t : 0         		Fthrust : 500.0     		Fdrag : 0         		m : 15.90498  		v : 0         		Mach : 0         		a : 0         		altitude : 113.0     		twr : 3.20456   	
	t : 26.31     		Fthrust : 500.0     		Fdrag : 328.18713 		m : 11.68806  		v : 270.93946 		Mach : 0.8434    		a : 4.88854   		altitude : 4833.89744		twr : 4.36012   	
	t : 26.32     		Fthrust : 500.0     		Fdrag : 328.19531 		m : 11.68646  		v : 270.98836 		Mach : 0.84358   		a : 4.88986   		altitude : 4836.60708		twr : 4.36072   	
	t : 26.33     		Fthrust : 500.0     		Fdrag : 328.20347 		m : 11.68486  		v : 271.03727 		Mach : 0.84377   		a : 4.89117   		altitude : 4839.31721		twr : 4.36132   	
	t : 26.34     		Fthrust : 500.0     		Fdrag : 328.2116  		m : 11.68326  		v : 271.08619 		Mach : 0.84395   		a : 4.89249   		altitude : 4842.02783		twr : 4.36192   	
	t : 26.35     		Fthrust : 500.0     		Fdrag : 328.21971 		m : 11.68165  		v : 271.13513 		Mach : 0.84413   		a : 4.89381   		altitude : 4844.73894		twr : 4.36252   	
	t : 26.36     		Fthrust : 500.0     		Fdrag : 328.22779 		m : 11.68005  		v : 271.18408 		Mach : 0.84431   		a : 4.89514   		altitude : 4847.45053		twr : 4.36312   	
	t : 26.37     		Fthrust : 500.0     		Fdrag : 328.23584 		m : 11.67845  		v : 271.23305 		Mach : 0.84449   		a : 4.89646   		altitude : 4850.16262		twr : 4.36371   	
	t : 26.38     		Fthrust : 500.0     		Fdrag : 328.24387 		m : 11.67685  		v : 271.28202 		Mach : 0.84467   		a : 4.89779   		altitude : 4852.87519		twr : 4.36431   	
	t : 26.39     		Fthrust : 500.0     		Fdrag : 328.25188 		m : 11.67524  		v : 271.33101 		Mach : 0.84485   		a : 4.89912   		altitude : 4855.58826		twr : 4.36491   	
	t : 26.4      		Fthrust : 500.0     		Fdrag : 328.25985 		m : 11.67364  		v : 271.38002 		Mach : 0.84504   		a : 4.90045   		altitude : 4858.30181		twr : 4.36551   	
	t : 26.41     		Fthrust : 500.0     		Fdrag : 328.26781 		m : 11.67204  		v : 271.42904 		Mach : 0.84522   		a : 4.90179   		altitude : 4861.01586		twr : 4.36611   	
	t : 26.42     		Fthrust : 500.0     		Fdrag : 328.27573 		m : 11.67043  		v : 271.47807 		Mach : 0.8454    		a : 4.90313   		altitude : 4863.73039		twr : 4.36671   	
	t : 26.43     		Fthrust : 500.0     		Fdrag : 328.28363 		m : 11.66883  		v : 271.52711 		Mach : 0.84558   		a : 4.90447   		altitude : 4866.44542		twr : 4.36731   	
	t : 26.44     		Fthrust : 500.0     		Fdrag : 328.29151 		m : 11.66723  		v : 271.57617 		Mach : 0.84576   		a : 4.90582   		altitude : 4869.16094		twr : 4.36791   	
	t : 26.45     		Fthrust : 500.0     		Fdrag : 328.29936 		m : 11.66563  		v : 271.62524 		Mach : 0.84594   		a : 4.90716   		altitude : 4871.87694		twr : 4.36851   	
	t : 26.46     		Fthrust : 500.0     		Fdrag : 328.30719 		m : 11.66402  		v : 271.67433 		Mach : 0.84613   		a : 4.90851   		altitude : 4874.59344		twr : 4.36911   	
	t : 26.47     		Fthrust : 500.0     		Fdrag : 328.31499 		m : 11.66242  		v : 271.72343 		Mach : 0.84631   		a : 4.90986   		altitude : 4877.31043		twr : 4.36971   	
	t : 26.48     		Fthrust : 500.0     		Fdrag : 328.32276 		m : 11.66082  		v : 271.77254 		Mach : 0.84649   		a : 4.91122   		altitude : 4880.02791		twr : 4.37031   	
	t : 26.49     		Fthrust : 500.0     		Fdrag : 328.33051 		m : 11.65921  		v : 271.82166 		Mach : 0.84667   		a : 4.91257   		altitude : 4882.74588		twr : 4.37091   	
	t : 26.5      		Fthrust : 500.0     		Fdrag : 328.33823 		m : 11.65761  		v : 271.8708  		Mach : 0.84685   		a : 4.91393   		altitude : 4885.46434		twr : 4.37151   	
	t : 26.51     		Fthrust : 500.0     		Fdrag : 328.34593 		m : 11.65601  		v : 271.91996 		Mach : 0.84704   		a : 4.91529   		altitude : 4888.1833 		twr : 4.37211   	
	t : 26.52     		Fthrust : 500.0     		Fdrag : 328.3536  		m : 11.65441  		v : 271.96912 		Mach : 0.84722   		a : 4.91666   		altitude : 4890.90274		twr : 4.37271   	
	t : 26.53     		Fthrust : 500.0     		Fdrag : 328.36125 		m : 11.6528   		v : 272.0183  		Mach : 0.8474    		a : 4.91803   		altitude : 4893.62268		twr : 4.37332   	
	t : 26.54     		Fthrust : 500.0     		Fdrag : 328.36887 		m : 11.6512   		v : 272.0675  		Mach : 0.84758   		a : 4.9194    		altitude : 4896.34311		twr : 4.37392   	
	t : 26.55     		Fthrust : 500.0     		Fdrag : 328.37647 		m : 11.6496   		v : 272.11671 		Mach : 0.84777   		a : 4.92077   		altitude : 4899.06403		twr : 4.37452   	
	t : 26.56     		Fthrust : 500.0     		Fdrag : 328.38404 		m : 11.648    		v : 272.16593 		Mach : 0.84795   		a : 4.92214   		altitude : 4901.78544		twr : 4.37512   	
	t : 26.57     		Fthrust : 500.0     		Fdrag : 328.39159 		m : 11.64639  		v : 272.21516 		Mach : 0.84813   		a : 4.92352   		altitude : 4904.50735		twr : 4.37572   	
	t : 26.58     		Fthrust : 500.0     		Fdrag : 328.39911 		m : 11.64479  		v : 272.26441 		Mach : 0.84831   		a : 4.9249    		altitude : 4907.22975		twr : 4.37633   	
	t : 26.59     		Fthrust : 500.0     		Fdrag : 328.40661 		m : 11.64319  		v : 272.31367 		Mach : 0.8485    		a : 4.92628   		altitude : 4909.95264		twr : 4.37693   	
	t : 26.6      		Fthrust : 500.0     		Fdrag : 328.41408 		m : 11.64158  		v : 272.36295 		Mach : 0.84868   		a : 4.92767   		altitude : 4912.67602		twr : 4.37753   	
	t : 26.61     		Fthrust : 500.0     		Fdrag : 328.42153 		m : 11.63998  		v : 272.41224 		Mach : 0.84886   		a : 4.92905   		altitude : 4915.3999 		twr : 4.37813   	
	t : 26.62     		Fthrust : 500.0     		Fdrag : 328.42895 		m : 11.63838  		v : 272.46155 		Mach : 0.84905   		a : 4.93044   		altitude : 4918.12426		twr : 4.37874   	
	t : 26.63     		Fthrust : 500.0     		Fdrag : 328.43635 		m : 11.63678  		v : 272.51086 		Mach : 0.84923   		a : 4.93183   		altitude : 4920.84913		twr : 4.37934   	
	t : 26.64     		Fthrust : 500.0     		Fdrag : 328.44372 		m : 11.63517  		v : 272.5602  		Mach : 0.84941   		a : 4.93323   		altitude : 4923.57448		twr : 4.37994   	
	t : 26.65     		Fthrust : 500.0     		Fdrag : 328.45107 		m : 11.63357  		v : 272.60954 		Mach : 0.84959   		a : 4.93463   		altitude : 4926.30033		twr : 4.38055   	
	t : 26.66     		Fthrust : 500.0     		Fdrag : 328.45839 		m : 11.63197  		v : 272.6589  		Mach : 0.84978   		a : 4.93603   		altitude : 4929.02667		twr : 4.38115   	
	t : 26.67     		Fthrust : 500.0     		Fdrag : 328.46569 		m : 11.63036  		v : 272.70828 		Mach : 0.84996   		a : 4.93743   		altitude : 4931.75351		twr : 4.38175   	
	t : 26.68     		Fthrust : 500.0     		Fdrag : 328.47297 		m : 11.62876  		v : 272.75767 		Mach : 0.85014   		a : 4.93883   		altitude : 4934.48084		twr : 4.38236   	
	t : 26.69     		Fthrust : 500.0     		Fdrag : 328.48021 		m : 11.62716  		v : 272.80707 		Mach : 0.85033   		a : 4.94024   		altitude : 4937.20866		twr : 4.38296   	
	t : 26.7      		Fthrust : 500.0     		Fdrag : 328.48744 		m : 11.62556  		v : 272.85648 		Mach : 0.85051   		a : 4.94165   		altitude : 4939.93698		twr : 4.38356   	
	t : 26.71     		Fthrust : 500.0     		Fdrag : 328.49464 		m : 11.62395  		v : 272.90591 		Mach : 0.85069   		a : 4.94306   		altitude : 4942.66579		twr : 4.38417   	
	t : 26.72     		Fthrust : 500.0     		Fdrag : 328.50181 		m : 11.62235  		v : 272.95536 		Mach : 0.85088   		a : 4.94448   		altitude : 4945.3951 		twr : 4.38477   	
	t : 26.73     		Fthrust : 500.0     		Fdrag : 328.50896 		m : 11.62075  		v : 273.00482 		Mach : 0.85106   		a : 4.9459    		altitude : 4948.1249 		twr : 4.38538   	
	t : 26.74     		Fthrust : 500.0     		Fdrag : 328.51609 		m : 11.61915  		v : 273.05429 		Mach : 0.85125   		a : 4.94732   		altitude : 4950.85519		twr : 4.38598   	
	t : 26.75     		Fthrust : 500.0     		Fdrag : 328.52319 		m : 11.61754  		v : 273.10378 		Mach : 0.85143   		a : 4.94874   		altitude : 4953.58598		twr : 4.38659   	
	t : 26.76     		Fthrust : 500.0     		Fdrag : 328.53027 		m : 11.61594  		v : 273.15328 		Mach : 0.85161   		a : 4.95016   		altitude : 4956.31727		twr : 4.38719   	
	t : 26.77     		Fthrust : 500.0     		Fdrag : 328.53732 		m : 11.61434  		v : 273.2028  		Mach : 0.8518    		a : 4.95159   		altitude : 4959.04905		twr : 4.3878    	
	t : 26.78     		Fthrust : 500.0     		Fdrag : 328.54435 		m : 11.61273  		v : 273.25233 		Mach : 0.85198   		a : 4.95302   		altitude : 4961.78133		twr : 4.3884    	
	t : 26.79     		Fthrust : 500.0     		Fdrag : 328.55135 		m : 11.61113  		v : 273.30187 		Mach : 0.85216   		a : 4.95445   		altitude : 4964.5141 		twr : 4.38901   	
	t : 26.8      		Fthrust : 500.0     		Fdrag : 328.55833 		m : 11.60953  		v : 273.35143 		Mach : 0.85235   		a : 4.95589   		altitude : 4967.24736		twr : 4.38962   	
	t : 26.81     		Fthrust : 500.0     		Fdrag : 328.56528 		m : 11.60793  		v : 273.401   		Mach : 0.85253   		a : 4.95732   		altitude : 4969.98113		twr : 4.39022   	
	t : 26.82     		Fthrust : 500.0     		Fdrag : 328.57221 		m : 11.60632  		v : 273.45059 		Mach : 0.85272   		a : 4.95876   		altitude : 4972.71538		twr : 4.39083   	
	t : 26.83     		Fthrust : 500.0     		Fdrag : 328.57912 		m : 11.60472  		v : 273.50019 		Mach : 0.8529    		a : 4.96021   		altitude : 4975.45014		twr : 4.39143   	
	t : 26.84     		Fthrust : 500.0     		Fdrag : 328.586   		m : 11.60312  		v : 273.54981 		Mach : 0.85309   		a : 4.96165   		altitude : 4978.18539		twr : 4.39204   	
	t : 26.85     		Fthrust : 500.0     		Fdrag : 328.59286 		m : 11.60151  		v : 273.59944 		Mach : 0.85327   		a : 4.9631    		altitude : 4980.92113		twr : 4.39265   	
	t : 26.86     		Fthrust : 500.0     		Fdrag : 328.59969 		m : 11.59991  		v : 273.64909 		Mach : 0.85345   		a : 4.96455   		altitude : 4983.65738		twr : 4.39325   	
	t : 26.87     		Fthrust : 500.0     		Fdrag : 328.6065  		m : 11.59831  		v : 273.69875 		Mach : 0.85364   		a : 4.966     		altitude : 4986.39412		twr : 4.39386   	
	t : 26.88     		Fthrust : 500.0     		Fdrag : 328.61328 		m : 11.59671  		v : 273.74842 		Mach : 0.85382   		a : 4.96746   		altitude : 4989.13135		twr : 4.39447   	
	t : 26.89     		Fthrust : 500.0     		Fdrag : 328.62004 		m : 11.5951   		v : 273.79811 		Mach : 0.85401   		a : 4.96891   		altitude : 4991.86908		twr : 4.39508   	
	t : 26.9      		Fthrust : 500.0     		Fdrag : 328.62678 		m : 11.5935   		v : 273.84781 		Mach : 0.85419   		a : 4.97037   		altitude : 4994.60731		twr : 4.39568   	
	t : 26.91     		Fthrust : 500.0     		Fdrag : 328.63349 		m : 11.5919   		v : 273.89753 		Mach : 0.85438   		a : 4.97184   		altitude : 4997.34604		twr : 4.39629   	
	t : 26.92     		Fthrust : 500.0     		Fdrag : 328.64018 		m : 11.5903   		v : 273.94726 		Mach : 0.85456   		a : 4.9733    		altitude : 5000.08526		twr : 4.3969    	
	t : 26.93     		Fthrust : 500.0     		Fdrag : 328.64684 		m : 11.58869  		v : 273.99701 		Mach : 0.85475   		a : 4.97477   		altitude : 5002.82499		twr : 4.39751   	
	t : 26.94     		Fthrust : 500.0     		Fdrag : 328.65349 		m : 11.58709  		v : 274.04677 		Mach : 0.85493   		a : 4.97624   		altitude : 5005.5652 		twr : 4.39811   	
	t : 26.95     		Fthrust : 500.0     		Fdrag : 328.6601  		m : 11.58549  		v : 274.09655 		Mach : 0.85512   		a : 4.97771   		altitude : 5008.30592		twr : 4.39872   	
	t : 26.96     		Fthrust : 500.0     		Fdrag : 328.66669 		m : 11.58388  		v : 274.14634 		Mach : 0.8553    		a : 4.97918   		altitude : 5011.04714		twr : 4.39933   	
	t : 26.97     		Fthrust : 500.0     		Fdrag : 328.67326 		m : 11.58228  		v : 274.19615 		Mach : 0.85549   		a : 4.98066   		altitude : 5013.78885		twr : 4.39994   	
	t : 26.98     		Fthrust : 500.0     		Fdrag : 328.67981 		m : 11.58068  		v : 274.24597 		Mach : 0.85567   		a : 4.98214   		altitude : 5016.53106		twr : 4.40055   	
	t : 26.99     		Fthrust : 500.0     		Fdrag : 328.68633 		m : 11.57908  		v : 274.29581 		Mach : 0.85586   		a : 4.98362   		altitude : 5019.27377		twr : 4.40116   	
	t : 27.0      		Fthrust : 500.0     		Fdrag : 328.69282 		m : 11.57747  		v : 274.34566 		Mach : 0.85604   		a : 4.98511   		altitude : 5022.01698		twr : 4.40177   	
	t : 27.01     		Fthrust : 500.0     		Fdrag : 328.6993  		m : 11.57587  		v : 274.39553 		Mach : 0.85623   		a : 4.9866    		altitude : 5024.76068		twr : 4.40238   	
	t : 27.02     		Fthrust : 500.0     		Fdrag : 328.70575 		m : 11.57427  		v : 274.44541 		Mach : 0.85641   		a : 4.98808   		altitude : 5027.50489		twr : 4.40299   	
	t : 27.03     		Fthrust : 500.0     		Fdrag : 328.71217 		m : 11.57266  		v : 274.4953  		Mach : 0.8566    		a : 4.98958   		altitude : 5030.24959		twr : 4.4036    	
	t : 27.04     		Fthrust : 500.0     		Fdrag : 328.71857 		m : 11.57106  		v : 274.54521 		Mach : 0.85679   		a : 4.99107   		altitude : 5032.99479		twr : 4.40421   	
	t : 27.05     		Fthrust : 500.0     		Fdrag : 328.72495 		m : 11.56946  		v : 274.59514 		Mach : 0.85697   		a : 4.99257   		altitude : 5035.74049		twr : 4.40482   	
	t : 27.06     		Fthrust : 500.0     		Fdrag : 328.7313  		m : 11.56786  		v : 274.64508 		Mach : 0.85716   		a : 4.99407   		altitude : 5038.48669		twr : 4.40543   	
	t : 27.07     		Fthrust : 500.0     		Fdrag : 328.73764 		m : 11.56625  		v : 274.69503 		Mach : 0.85734   		a : 4.99557   		altitude : 5041.2334 		twr : 4.40604   	
	t : 27.08     		Fthrust : 500.0     		Fdrag : 328.74394 		m : 11.56465  		v : 274.74501 		Mach : 0.85753   		a : 4.99707   		altitude : 5043.9806 		twr : 4.40665   	
	t : 27.09     		Fthrust : 500.0     		Fdrag : 328.75023 		m : 11.56305  		v : 274.79499 		Mach : 0.85771   		a : 4.99858   		altitude : 5046.7283 		twr : 4.40726   	
	t : 27.1      		Fthrust : 500.0     		Fdrag : 328.75649 		m : 11.56145  		v : 274.84499 		Mach : 0.8579    		a : 5.00009   		altitude : 5049.4765 		twr : 4.40787   	
	t : 27.11     		Fthrust : 500.0     		Fdrag : 328.76272 		m : 11.55984  		v : 274.89501 		Mach : 0.85809   		a : 5.0016    		altitude : 5052.2252 		twr : 4.40848   	
	t : 27.12     		Fthrust : 500.0     		Fdrag : 328.76893 		m : 11.55824  		v : 274.94504 		Mach : 0.85827   		a : 5.00312   		altitude : 5054.9744 		twr : 4.40909   	
	t : 27.13     		Fthrust : 500.0     		Fdrag : 328.77512 		m : 11.55664  		v : 274.99509 		Mach : 0.85846   		a : 5.00463   		altitude : 5057.7241 		twr : 4.4097    	
	t : 27.14     		Fthrust : 500.0     		Fdrag : 328.78129 		m : 11.55503  		v : 275.04515 		Mach : 0.85865   		a : 5.00615   		altitude : 5060.4743 		twr : 4.41031   	
	t : 27.15     		Fthrust : 500.0     		Fdrag : 328.78743 		m : 11.55343  		v : 275.09522 		Mach : 0.85883   		a : 5.00767   		altitude : 5063.225  		twr : 4.41093   	
	t : 27.16     		Fthrust : 500.0     		Fdrag : 328.79355 		m : 11.55183  		v : 275.14532 		Mach : 0.85902   		a : 5.0092    		altitude : 5065.9762 		twr : 4.41154   	
	t : 27.17     		Fthrust : 500.0     		Fdrag : 328.79965 		m : 11.55023  		v : 275.19542 		Mach : 0.8592    		a : 5.01072   		altitude : 5068.72791		twr : 4.41215   	
	t : 27.18     		Fthrust : 500.0     		Fdrag : 328.80572 		m : 11.54862  		v : 275.24555 		Mach : 0.85939   		a : 5.01225   		altitude : 5071.48011		twr : 4.41276   	
	t : 27.19     		Fthrust : 500.0     		Fdrag : 328.81177 		m : 11.54702  		v : 275.29568 		Mach : 0.85958   		a : 5.01378   		altitude : 5074.23282		twr : 4.41337   	
	t : 27.2      		Fthrust : 500.0     		Fdrag : 328.81779 		m : 11.54542  		v : 275.34584 		Mach : 0.85976   		a : 5.01532   		altitude : 5076.98602		twr : 4.41399   	
	t : 27.21     		Fthrust : 500.0     		Fdrag : 328.82379 		m : 11.54381  		v : 275.396   		Mach : 0.85995   		a : 5.01685   		altitude : 5079.73973		twr : 4.4146    	
	t : 27.22     		Fthrust : 500.0     		Fdrag : 328.82977 		m : 11.54221  		v : 275.44619 		Mach : 0.86014   		a : 5.01839   		altitude : 5082.49394		twr : 4.41521   	
	t : 27.23     		Fthrust : 500.0     		Fdrag : 328.83573 		m : 11.54061  		v : 275.49639 		Mach : 0.86032   		a : 5.01993   		altitude : 5085.24866		twr : 4.41583   	
	t : 27.24     		Fthrust : 500.0     		Fdrag : 328.84166 		m : 11.53901  		v : 275.5466  		Mach : 0.86051   		a : 5.02148   		altitude : 5088.00387		twr : 4.41644   	
	t : 27.25     		Fthrust : 500.0     		Fdrag : 328.84757 		m : 11.5374   		v : 275.59683 		Mach : 0.8607    		a : 5.02302   		altitude : 5090.75959		twr : 4.41705   	
	t : 27.26     		Fthrust : 500.0     		Fdrag : 328.85346 		m : 11.5358   		v : 275.64708 		Mach : 0.86089   		a : 5.02457   		altitude : 5093.51581		twr : 4.41767   	
	t : 27.27     		Fthrust : 500.0     		Fdrag : 328.85932 		m : 11.5342   		v : 275.69734 		Mach : 0.86107   		a : 5.02612   		altitude : 5096.27253		twr : 4.41828   	
	t : 27.28     		Fthrust : 500.0     		Fdrag : 328.86516 		m : 11.53259  		v : 275.74762 		Mach : 0.86126   		a : 5.02768   		altitude : 5099.02976		twr : 4.41889   	
	t : 27.29     		Fthrust : 500.0     		Fdrag : 328.87098 		m : 11.53099  		v : 275.79791 		Mach : 0.86145   		a : 5.02923   		altitude : 5101.78748		twr : 4.41951   	
	t : 27.3      		Fthrust : 500.0     		Fdrag : 328.87677 		m : 11.52939  		v : 275.84822 		Mach : 0.86163   		a : 5.03079   		altitude : 5104.54571		twr : 4.42012   	
	t : 27.31     		Fthrust : 500.0     		Fdrag : 328.88254 		m : 11.52779  		v : 275.89854 		Mach : 0.86182   		a : 5.03235   		altitude : 5107.30445		twr : 4.42074   	
	t : 27.32     		Fthrust : 500.0     		Fdrag : 328.88829 		m : 11.52618  		v : 275.94888 		Mach : 0.86201   		a : 5.03391   		altitude : 5110.06368		twr : 4.42135   	
	t : 27.33     		Fthrust : 500.0     		Fdrag : 328.89401 		m : 11.52458  		v : 275.99923 		Mach : 0.8622    		a : 5.03548   		altitude : 5112.82343		twr : 4.42197   	
	t : 27.34     		Fthrust : 500.0     		Fdrag : 328.89971 		m : 11.52298  		v : 276.0496  		Mach : 0.86238   		a : 5.03705   		altitude : 5115.58367		twr : 4.42258   	
	t : 27.35     		Fthrust : 500.0     		Fdrag : 328.90539 		m : 11.52138  		v : 276.09999 		Mach : 0.86257   		a : 5.03862   		altitude : 5118.34442		twr : 4.4232    	
	t : 27.36     		Fthrust : 500.0     		Fdrag : 328.91105 		m : 11.51977  		v : 276.15039 		Mach : 0.86276   		a : 5.04019   		altitude : 5121.10567		twr : 4.42381   	
	t : 27.37     		Fthrust : 500.0     		Fdrag : 328.91668 		m : 11.51817  		v : 276.20081 		Mach : 0.86295   		a : 5.04176   		altitude : 5123.86743		twr : 4.42443   	
	t : 27.38     		Fthrust : 500.0     		Fdrag : 328.92229 		m : 11.51657  		v : 276.25124 		Mach : 0.86314   		a : 5.04334   		altitude : 5126.62969		twr : 4.42504   	
	t : 27.39     		Fthrust : 500.0     		Fdrag : 328.92788 		m : 11.51496  		v : 276.30169 		Mach : 0.86332   		a : 5.04492   		altitude : 5129.39245		twr : 4.42566   	
	t : 27.4      		Fthrust : 500.0     		Fdrag : 328.93344 		m : 11.51336  		v : 276.35216 		Mach : 0.86351   		a : 5.0465    		altitude : 5132.15572		twr : 4.42628   	
	t : 27.41     		Fthrust : 500.0     		Fdrag : 328.93899 		m : 11.51176  		v : 276.40264 		Mach : 0.8637    		a : 5.04809   		altitude : 5134.91949		twr : 4.42689   	
	t : 27.42     		Fthrust : 500.0     		Fdrag : 328.9445  		m : 11.51016  		v : 276.45314 		Mach : 0.86389   		a : 5.04968   		altitude : 5137.68377		twr : 4.42751   	
	t : 27.43     		Fthrust : 500.0     		Fdrag : 328.95    		m : 11.50855  		v : 276.50365 		Mach : 0.86408   		a : 5.05127   		altitude : 5140.44856		twr : 4.42812   	
	t : 27.44     		Fthrust : 500.0     		Fdrag : 328.95547 		m : 11.50695  		v : 276.55418 		Mach : 0.86427   		a : 5.05286   		altitude : 5143.21385		twr : 4.42874   	
	t : 27.45     		Fthrust : 500.0     		Fdrag : 328.96092 		m : 11.50535  		v : 276.60472 		Mach : 0.86445   		a : 5.05445   		altitude : 5145.97964		twr : 4.42936   	
	t : 27.46     		Fthrust : 500.0     		Fdrag : 328.96635 		m : 11.50374  		v : 276.65528 		Mach : 0.86464   		a : 5.05605   		altitude : 5148.74594		twr : 4.42997   	
	t : 27.47     		Fthrust : 500.0     		Fdrag : 328.97176 		m : 11.50214  		v : 276.70586 		Mach : 0.86483   		a : 5.05765   		altitude : 5151.51275		twr : 4.43059   	
	t : 27.48     		Fthrust : 500.0     		Fdrag : 328.97714 		m : 11.50054  		v : 276.75645 		Mach : 0.86502   		a : 5.05925   		altitude : 5154.28006		twr : 4.43121   	
	t : 27.49     		Fthrust : 500.0     		Fdrag : 328.9825  		m : 11.49894  		v : 276.80706 		Mach : 0.86521   		a : 5.06086   		altitude : 5157.04788		twr : 4.43183   	
	t : 27.5      		Fthrust : 500.0     		Fdrag : 328.98784 		m : 11.49733  		v : 276.85768 		Mach : 0.8654    		a : 5.06246   		altitude : 5159.8162 		twr : 4.43244   	
	t : 27.51     		Fthrust : 500.0     		Fdrag : 328.99315 		m : 11.49573  		v : 276.90833 		Mach : 0.86559   		a : 5.06407   		altitude : 5162.58503		twr : 4.43306   	
	t : 27.52     		Fthrust : 500.0     		Fdrag : 328.99844 		m : 11.49413  		v : 276.95898 		Mach : 0.86577   		a : 5.06568   		altitude : 5165.35437		twr : 4.43368   	
	t : 27.53     		Fthrust : 500.0     		Fdrag : 329.00371 		m : 11.49253  		v : 277.00965 		Mach : 0.86596   		a : 5.0673    		altitude : 5168.12421		twr : 4.4343    	
	t : 27.54     		Fthrust : 500.0     		Fdrag : 329.00896 		m : 11.49092  		v : 277.06034 		Mach : 0.86615   		a : 5.06891   		altitude : 5170.89456		twr : 4.43492   	
	t : 27.55     		Fthrust : 500.0     		Fdrag : 329.01419 		m : 11.48932  		v : 277.11105 		Mach : 0.86634   		a : 5.07053   		altitude : 5173.66542		twr : 4.43554   	
	t : 27.56     		Fthrust : 500.0     		Fdrag : 329.01939 		m : 11.48772  		v : 277.16177 		Mach : 0.86653   		a : 5.07215   		altitude : 5176.43678		twr : 4.43615   	
	t : 27.57     		Fthrust : 500.0     		Fdrag : 329.02457 		m : 11.48611  		v : 277.21251 		Mach : 0.86672   		a : 5.07378   		altitude : 5179.20865		twr : 4.43677   	
	t : 27.58     		Fthrust : 500.0     		Fdrag : 329.02973 		m : 11.48451  		v : 277.26326 		Mach : 0.86691   		a : 5.0754    		altitude : 5181.98103		twr : 4.43739   	
	t : 27.59     		Fthrust : 500.0     		Fdrag : 329.03486 		m : 11.48291  		v : 277.31403 		Mach : 0.8671    		a : 5.07703   		altitude : 5184.75392		twr : 4.43801   	
	t : 27.6      		Fthrust : 500.0     		Fdrag : 329.03997 		m : 11.48131  		v : 277.36482 		Mach : 0.86729   		a : 5.07866   		altitude : 5187.52731		twr : 4.43863   	
	t : 27.61     		Fthrust : 500.0     		Fdrag : 329.04506 		m : 11.4797   		v : 277.41562 		Mach : 0.86748   		a : 5.08029   		altitude : 5190.30121		twr : 4.43925   	
	t : 27.62     		Fthrust : 500.0     		Fdrag : 329.05013 		m : 11.4781   		v : 277.46644 		Mach : 0.86767   		a : 5.08193   		altitude : 5193.07562		twr : 4.43987   	
	t : 27.63     		Fthrust : 500.0     		Fdrag : 329.05518 		m : 11.4765   		v : 277.51728 		Mach : 0.86786   		a : 5.08357   		altitude : 5195.85054		twr : 4.44049   	
	t : 27.64     		Fthrust : 500.0     		Fdrag : 329.0602  		m : 11.47489  		v : 277.56813 		Mach : 0.86805   		a : 5.08521   		altitude : 5198.62597		twr : 4.44111   	
	t : 27.65     		Fthrust : 500.0     		Fdrag : 329.0652  		m : 11.47329  		v : 277.619   		Mach : 0.86824   		a : 5.08685   		altitude : 5201.4019 		twr : 4.44173   	
	t : 27.66     		Fthrust : 500.0     		Fdrag : 329.07018 		m : 11.47169  		v : 277.66988 		Mach : 0.86843   		a : 5.0885    		altitude : 5204.17835		twr : 4.44235   	
	t : 27.67     		Fthrust : 500.0     		Fdrag : 329.07514 		m : 11.47009  		v : 277.72078 		Mach : 0.86862   		a : 5.09014   		altitude : 5206.9553 		twr : 4.44297   	
	t : 27.68     		Fthrust : 500.0     		Fdrag : 329.08007 		m : 11.46848  		v : 277.7717  		Mach : 0.86881   		a : 5.09179   		altitude : 5209.73276		twr : 4.44359   	
	t : 27.69     		Fthrust : 500.0     		Fdrag : 329.08498 		m : 11.46688  		v : 277.82264 		Mach : 0.869     		a : 5.09345   		altitude : 5212.51074		twr : 4.44421   	
	t : 27.7      		Fthrust : 500.0     		Fdrag : 329.08988 		m : 11.46528  		v : 277.87359 		Mach : 0.86919   		a : 5.0951    		altitude : 5215.28922		twr : 4.44484   	
	t : 27.71     		Fthrust : 500.0     		Fdrag : 329.09474 		m : 11.46368  		v : 277.92456 		Mach : 0.86938   		a : 5.09676   		altitude : 5218.06821		twr : 4.44546   	
	t : 27.72     		Fthrust : 500.0     		Fdrag : 329.09959 		m : 11.46207  		v : 277.97554 		Mach : 0.86957   		a : 5.09842   		altitude : 5220.84771		twr : 4.44608   	
	t : 27.73     		Fthrust : 500.0     		Fdrag : 329.10441 		m : 11.46047  		v : 278.02654 		Mach : 0.86976   		a : 5.10008   		altitude : 5223.62772		twr : 4.4467    	
	t : 27.74     		Fthrust : 500.0     		Fdrag : 329.10922 		m : 11.45887  		v : 278.07756 		Mach : 0.86995   		a : 5.10174   		altitude : 5226.40824		twr : 4.44732   	
	t : 27.75     		Fthrust : 500.0     		Fdrag : 329.114   		m : 11.45726  		v : 278.12859 		Mach : 0.87014   		a : 5.10341   		altitude : 5229.18927		twr : 4.44794   	
	t : 27.76     		Fthrust : 500.0     		Fdrag : 329.11875 		m : 11.45566  		v : 278.17964 		Mach : 0.87033   		a : 5.10508   		altitude : 5231.97081		twr : 4.44857   	
	t : 27.77     		Fthrust : 500.0     		Fdrag : 329.12349 		m : 11.45406  		v : 278.23071 		Mach : 0.87052   		a : 5.10675   		altitude : 5234.75286		twr : 4.44919   	
	t : 27.78     		Fthrust : 500.0     		Fdrag : 329.1282  		m : 11.45246  		v : 278.28179 		Mach : 0.87071   		a : 5.10842   		altitude : 5237.53543		twr : 4.44981   	
