	t : 0         		Fthrust : 500.0     		Fdrag : 0         		m : 15.90498  		v : 0         		Mach : 0         		a : 0         		altitude : 113.0     		twr : 3.20456   	
	t : 1.05      		Fthrust : 500.0     		Fdrag : 3.89073   		m : 15.73669  		v : 22.79719  		Mach : 0.06709   		a : 21.71712  		altitude : 124.96012 		twr : 3.2385    	
	t : 1.06      		Fthrust : 500.0     		Fdrag : 3.96512   		m : 15.73508  		v : 23.01435  		Mach : 0.06773   		a : 21.71565  		altitude : 125.18918 		twr : 3.23883   	
	t : 1.07      		Fthrust : 500.0     		Fdrag : 4.04021   		m : 15.73348  		v : 23.23149  		Mach : 0.06837   		a : 21.71413  		altitude : 125.42041 		twr : 3.23916   	
	t : 1.08      		Fthrust : 500.0     		Fdrag : 4.11599   		m : 15.73188  		v : 23.44861  		Mach : 0.06901   		a : 21.71257  		altitude : 125.65381 		twr : 3.23949   	
	t : 1.09      		Fthrust : 500.0     		Fdrag : 4.19246   		m : 15.73028  		v : 23.66572  		Mach : 0.06964   		a : 21.71097  		altitude : 125.88938 		twr : 3.23982   	
	t : 1.1       		Fthrust : 500.0     		Fdrag : 4.26964   		m : 15.72867  		v : 23.88282  		Mach : 0.07028   		a : 21.70932  		altitude : 126.12712 		twr : 3.24015   	
	t : 1.11      		Fthrust : 500.0     		Fdrag : 4.34751   		m : 15.72707  		v : 24.09989  		Mach : 0.07092   		a : 21.70762  		altitude : 126.36703 		twr : 3.24048   	
	t : 1.12      		Fthrust : 500.0     		Fdrag : 4.42607   		m : 15.72547  		v : 24.31695  		Mach : 0.07156   		a : 21.70588  		altitude : 126.60912 		twr : 3.24081   	
	t : 1.13      		Fthrust : 500.0     		Fdrag : 4.50533   		m : 15.72386  		v : 24.53399  		Mach : 0.0722    		a : 21.7041   		altitude : 126.85337 		twr : 3.24114   	
	t : 1.14      		Fthrust : 500.0     		Fdrag : 4.58528   		m : 15.72226  		v : 24.75102  		Mach : 0.07284   		a : 21.70227  		altitude : 127.0998  		twr : 3.24147   	
	t : 1.15      		Fthrust : 500.0     		Fdrag : 4.66592   		m : 15.72066  		v : 24.96802  		Mach : 0.07348   		a : 21.7004   		altitude : 127.34839 		twr : 3.2418    	
	t : 1.16      		Fthrust : 500.0     		Fdrag : 4.74726   		m : 15.71906  		v : 25.185    		Mach : 0.07412   		a : 21.69848  		altitude : 127.59916 		twr : 3.24213   	
	t : 1.17      		Fthrust : 500.0     		Fdrag : 4.82929   		m : 15.71745  		v : 25.40197  		Mach : 0.07476   		a : 21.69652  		altitude : 127.85209 		twr : 3.24246   	
	t : 1.18      		Fthrust : 500.0     		Fdrag : 4.91201   		m : 15.71585  		v : 25.61891  		Mach : 0.07539   		a : 21.69451  		altitude : 128.1072  		twr : 3.24279   	
	t : 1.19      		Fthrust : 500.0     		Fdrag : 4.99542   		m : 15.71425  		v : 25.83584  		Mach : 0.07603   		a : 21.69246  		altitude : 128.36447 		twr : 3.24312   	
	t : 1.2       		Fthrust : 500.0     		Fdrag : 5.07952   		m : 15.71264  		v : 26.05274  		Mach : 0.07667   		a : 21.69037  		altitude : 128.62391 		twr : 3.24345   	
	t : 1.21      		Fthrust : 500.0     		Fdrag : 5.16432   		m : 15.71104  		v : 26.26963  		Mach : 0.07731   		a : 21.68823  		altitude : 128.88553 		twr : 3.24378   	
	t : 1.22      		Fthrust : 500.0     		Fdrag : 5.2498    		m : 15.70944  		v : 26.48649  		Mach : 0.07795   		a : 21.68604  		altitude : 129.14931 		twr : 3.24411   	
	t : 1.23      		Fthrust : 500.0     		Fdrag : 5.33597   		m : 15.70784  		v : 26.70332  		Mach : 0.07859   		a : 21.68382  		altitude : 129.41526 		twr : 3.24444   	
	t : 1.24      		Fthrust : 500.0     		Fdrag : 5.42284   		m : 15.70623  		v : 26.92014  		Mach : 0.07923   		a : 21.68154  		altitude : 129.68337 		twr : 3.24478   	
	t : 1.25      		Fthrust : 500.0     		Fdrag : 5.51039   		m : 15.70463  		v : 27.13693  		Mach : 0.07986   		a : 21.67923  		altitude : 129.95366 		twr : 3.24511   	
	t : 1.26      		Fthrust : 500.0     		Fdrag : 5.59863   		m : 15.70303  		v : 27.3537   		Mach : 0.0805    		a : 21.67687  		altitude : 130.22611 		twr : 3.24544   	
	t : 1.27      		Fthrust : 500.0     		Fdrag : 5.68755   		m : 15.70143  		v : 27.57044  		Mach : 0.08114   		a : 21.67446  		altitude : 130.50073 		twr : 3.24577   	
	t : 1.28      		Fthrust : 500.0     		Fdrag : 5.77717   		m : 15.69982  		v : 27.78716  		Mach : 0.08178   		a : 21.67201  		altitude : 130.77752 		twr : 3.2461    	
	t : 1.29      		Fthrust : 500.0     		Fdrag : 5.86747   		m : 15.69822  		v : 28.00386  		Mach : 0.08242   		a : 21.66952  		altitude : 131.05648 		twr : 3.24643   	
	t : 1.3       		Fthrust : 500.0     		Fdrag : 5.95845   		m : 15.69662  		v : 28.22053  		Mach : 0.08305   		a : 21.66698  		altitude : 131.3376  		twr : 3.24676   	
	t : 1.31      		Fthrust : 500.0     		Fdrag : 6.05012   		m : 15.69501  		v : 28.43717  		Mach : 0.08369   		a : 21.6644   		altitude : 131.62089 		twr : 3.24709   	
	t : 1.32      		Fthrust : 500.0     		Fdrag : 6.14248   		m : 15.69341  		v : 28.65379  		Mach : 0.08433   		a : 21.66177  		altitude : 131.90634 		twr : 3.24743   	
	t : 1.33      		Fthrust : 500.0     		Fdrag : 6.23552   		m : 15.69181  		v : 28.87038  		Mach : 0.08497   		a : 21.6591   		altitude : 132.19396 		twr : 3.24776   	
	t : 1.34      		Fthrust : 500.0     		Fdrag : 6.32924   		m : 15.69021  		v : 29.08695  		Mach : 0.0856    		a : 21.65638  		altitude : 132.48375 		twr : 3.24809   	
	t : 1.35      		Fthrust : 500.0     		Fdrag : 6.42365   		m : 15.6886   		v : 29.30348  		Mach : 0.08624   		a : 21.65363  		altitude : 132.7757  		twr : 3.24842   	
	t : 1.36      		Fthrust : 500.0     		Fdrag : 6.51873   		m : 15.687    		v : 29.51999  		Mach : 0.08688   		a : 21.65082  		altitude : 133.06982 		twr : 3.24875   	
	t : 1.37      		Fthrust : 500.0     		Fdrag : 6.61451   		m : 15.6854   		v : 29.73647  		Mach : 0.08752   		a : 21.64797  		altitude : 133.3661  		twr : 3.24909   	
