	t : 0         		Fthrust : 500.0     		Fdrag : 0         		m : 15.90498  		v : 0         		Mach : 0         		a : 0         		altitude : 113.0     		twr : 3.20456   	
	t : 0.59      		Fthrust : 500.0     		Fdrag : 0.52672   		m : 15.81041  		v : 12.8078   		Mach : 0.03769   		a : 21.77933  		altitude : 116.7738  		twr : 3.2234    	
	t : 0.6       		Fthrust : 500.0     		Fdrag : 0.54478   		m : 15.80881  		v : 13.02562  		Mach : 0.03833   		a : 21.78141  		altitude : 116.90297 		twr : 3.22372   	
	t : 0.61      		Fthrust : 500.0     		Fdrag : 0.56315   		m : 15.80721  		v : 13.24345  		Mach : 0.03897   		a : 21.78347  		altitude : 117.03431 		twr : 3.22405   	
	t : 0.62      		Fthrust : 500.0     		Fdrag : 0.58182   		m : 15.80561  		v : 13.46131  		Mach : 0.03961   		a : 21.78551  		altitude : 117.16783 		twr : 3.22438   	
	t : 0.63      		Fthrust : 500.0     		Fdrag : 0.6008    		m : 15.804    		v : 13.67918  		Mach : 0.04025   		a : 21.78753  		altitude : 117.30354 		twr : 3.2247    	
	t : 0.64      		Fthrust : 500.0     		Fdrag : 0.62008   		m : 15.8024   		v : 13.89708  		Mach : 0.04089   		a : 21.78954  		altitude : 117.44142 		twr : 3.22503   	
	t : 0.65      		Fthrust : 500.0     		Fdrag : 0.63967   		m : 15.8008   		v : 14.11499  		Mach : 0.04153   		a : 21.79152  		altitude : 117.58148 		twr : 3.22536   	
	t : 0.66      		Fthrust : 500.0     		Fdrag : 0.65957   		m : 15.79919  		v : 14.33293  		Mach : 0.04218   		a : 21.79349  		altitude : 117.72372 		twr : 3.22569   	
	t : 0.67      		Fthrust : 500.0     		Fdrag : 0.67977   		m : 15.79759  		v : 14.55088  		Mach : 0.04282   		a : 21.79543  		altitude : 117.86814 		twr : 3.22601   	
	t : 0.68      		Fthrust : 500.0     		Fdrag : 0.70028   		m : 15.79599  		v : 14.76886  		Mach : 0.04346   		a : 21.79736  		altitude : 118.01474 		twr : 3.22634   	
	t : 0.69      		Fthrust : 500.0     		Fdrag : 0.7211    		m : 15.79439  		v : 14.98685  		Mach : 0.0441    		a : 21.79927  		altitude : 118.16351 		twr : 3.22667   	
	t : 0.7       		Fthrust : 500.0     		Fdrag : 0.74222   		m : 15.79278  		v : 15.20486  		Mach : 0.04474   		a : 21.80116  		altitude : 118.31447 		twr : 3.22699   	
	t : 0.71      		Fthrust : 500.0     		Fdrag : 0.76365   		m : 15.79118  		v : 15.42289  		Mach : 0.04538   		a : 21.80303  		altitude : 118.46761 		twr : 3.22732   	
	t : 0.72      		Fthrust : 500.0     		Fdrag : 0.78538   		m : 15.78958  		v : 15.64094  		Mach : 0.04603   		a : 21.80488  		altitude : 118.62293 		twr : 3.22765   	
	t : 0.73      		Fthrust : 500.0     		Fdrag : 0.80742   		m : 15.78798  		v : 15.85901  		Mach : 0.04667   		a : 21.80672  		altitude : 118.78043 		twr : 3.22798   	
