	t : 0         		Fthrust : 500.0     		Fdrag : 0         		m : 15.90498  		v : 0         		Mach : 0         		a : 0         		altitude : 113.0     		twr : 3.20456   	
	t : 36.21     		Fthrust : 0         		Fdrag : 181.61254 		m : 10.29525  		v : 478.15279 		Mach : 1.6145    		a : -27.48567 		altitude : 10774.82763		twr : 0.0       	
	t : 36.22     		Fthrust : 0         		Fdrag : 181.25061 		m : 10.29525  		v : 477.87829 		Mach : 1.61369   		a : -27.45042 		altitude : 10779.60778		twr : 0.0       	
	t : 36.23     		Fthrust : 0         		Fdrag : 180.8896  		m : 10.29525  		v : 477.60414 		Mach : 1.61288   		a : -27.41527 		altitude : 10784.38519		twr : 0.0       	
	t : 36.24     		Fthrust : 0         		Fdrag : 180.52949 		m : 10.29525  		v : 477.33033 		Mach : 1.61207   		a : -27.3802  		altitude : 10789.15987		twr : 0.0       	
	t : 36.25     		Fthrust : 0         		Fdrag : 180.17028 		m : 10.29525  		v : 477.05688 		Mach : 1.61126   		a : -27.34522 		altitude : 10793.9318		twr : 0.0       	
	t : 36.26     		Fthrust : 0         		Fdrag : 179.81198 		m : 10.29525  		v : 476.78378 		Mach : 1.61045   		a : -27.31033 		altitude : 10798.70101		twr : 0.0       	
	t : 36.27     		Fthrust : 0         		Fdrag : 179.45457 		m : 10.29525  		v : 476.51102 		Mach : 1.60964   		a : -27.27553 		altitude : 10803.46748		twr : 0.0       	
	t : 36.28     		Fthrust : 0         		Fdrag : 179.09805 		m : 10.29525  		v : 476.23861 		Mach : 1.60884   		a : -27.24081 		altitude : 10808.23123		twr : 0.0       	
	t : 36.29     		Fthrust : 0         		Fdrag : 178.74243 		m : 10.29525  		v : 475.96655 		Mach : 1.60803   		a : -27.20618 		altitude : 10812.99225		twr : 0.0       	
	t : 36.3      		Fthrust : 0         		Fdrag : 178.38769 		m : 10.29525  		v : 475.69484 		Mach : 1.60723   		a : -27.17164 		altitude : 10817.75056		twr : 0.0       	
	t : 36.31     		Fthrust : 0         		Fdrag : 178.03385 		m : 10.29525  		v : 475.42346 		Mach : 1.60642   		a : -27.13719 		altitude : 10822.50615		twr : 0.0       	
	t : 36.32     		Fthrust : 0         		Fdrag : 177.68088 		m : 10.29525  		v : 475.15244 		Mach : 1.60562   		a : -27.10282 		altitude : 10827.25903		twr : 0.0       	
	t : 36.33     		Fthrust : 0         		Fdrag : 177.32879 		m : 10.29525  		v : 474.88175 		Mach : 1.60482   		a : -27.06853 		altitude : 10832.0092		twr : 0.0       	
	t : 36.34     		Fthrust : 0         		Fdrag : 176.97758 		m : 10.29525  		v : 474.61141 		Mach : 1.60402   		a : -27.03433 		altitude : 10836.75667		twr : 0.0       	
	t : 36.35     		Fthrust : 0         		Fdrag : 176.62725 		m : 10.29525  		v : 474.34141 		Mach : 1.60322   		a : -27.00022 		altitude : 10841.50143		twr : 0.0       	
	t : 36.36     		Fthrust : 0         		Fdrag : 176.27778 		m : 10.29525  		v : 474.07174 		Mach : 1.60242   		a : -26.96619 		altitude : 10846.2435		twr : 0.0       	
	t : 36.37     		Fthrust : 0         		Fdrag : 175.92919 		m : 10.29525  		v : 473.80242 		Mach : 1.60163   		a : -26.93225 		altitude : 10850.98287		twr : 0.0       	
	t : 36.38     		Fthrust : 0         		Fdrag : 175.58146 		m : 10.29525  		v : 473.53344 		Mach : 1.60083   		a : -26.89839 		altitude : 10855.71955		twr : 0.0       	
	t : 36.39     		Fthrust : 0         		Fdrag : 175.23459 		m : 10.29525  		v : 473.26479 		Mach : 1.60003   		a : -26.86461 		altitude : 10860.45354		twr : 0.0       	
	t : 36.4      		Fthrust : 0         		Fdrag : 174.88858 		m : 10.29525  		v : 472.99648 		Mach : 1.59924   		a : -26.83092 		altitude : 10865.18485		twr : 0.0       	
	t : 36.41     		Fthrust : 0         		Fdrag : 174.54344 		m : 10.29525  		v : 472.72851 		Mach : 1.59845   		a : -26.79731 		altitude : 10869.91347		twr : 0.0       	
	t : 36.42     		Fthrust : 0         		Fdrag : 174.19914 		m : 10.29525  		v : 472.46087 		Mach : 1.59765   		a : -26.76378 		altitude : 10874.63942		twr : 0.0       	
	t : 36.43     		Fthrust : 0         		Fdrag : 173.8557  		m : 10.29525  		v : 472.19357 		Mach : 1.59686   		a : -26.73034 		altitude : 10879.36269		twr : 0.0       	
	t : 36.44     		Fthrust : 0         		Fdrag : 173.51311 		m : 10.29525  		v : 471.9266  		Mach : 1.59607   		a : -26.69698 		altitude : 10884.08329		twr : 0.0       	
	t : 36.45     		Fthrust : 0         		Fdrag : 173.17136 		m : 10.29525  		v : 471.65996 		Mach : 1.59528   		a : -26.66371 		altitude : 10888.80122		twr : 0.0       	
	t : 36.46     		Fthrust : 0         		Fdrag : 172.83046 		m : 10.29525  		v : 471.39366 		Mach : 1.5945    		a : -26.63051 		altitude : 10893.51649		twr : 0.0       	
	t : 36.47     		Fthrust : 0         		Fdrag : 172.4904  		m : 10.29525  		v : 471.12768 		Mach : 1.59371   		a : -26.5974  		altitude : 10898.2291		twr : 0.0       	
	t : 36.48     		Fthrust : 0         		Fdrag : 172.15117 		m : 10.29525  		v : 470.86204 		Mach : 1.59292   		a : -26.56437 		altitude : 10902.93905		twr : 0.0       	
	t : 36.49     		Fthrust : 0         		Fdrag : 171.81279 		m : 10.29525  		v : 470.59672 		Mach : 1.59214   		a : -26.53142 		altitude : 10907.64634		twr : 0.0       	
	t : 36.5      		Fthrust : 0         		Fdrag : 171.47523 		m : 10.29525  		v : 470.33174 		Mach : 1.59135   		a : -26.49855 		altitude : 10912.35098		twr : 0.0       	
	t : 36.51     		Fthrust : 0         		Fdrag : 171.13851 		m : 10.29525  		v : 470.06708 		Mach : 1.59057   		a : -26.46576 		altitude : 10917.05298		twr : 0.0       	
	t : 36.52     		Fthrust : 0         		Fdrag : 170.80261 		m : 10.29525  		v : 469.80275 		Mach : 1.58978   		a : -26.43306 		altitude : 10921.75233		twr : 0.0       	
	t : 36.53     		Fthrust : 0         		Fdrag : 170.46754 		m : 10.29525  		v : 469.53875 		Mach : 1.589     		a : -26.40043 		altitude : 10926.44903		twr : 0.0       	
	t : 36.54     		Fthrust : 0         		Fdrag : 170.1333  		m : 10.29525  		v : 469.27507 		Mach : 1.58822   		a : -26.36788 		altitude : 10931.1431		twr : 0.0       	
	t : 36.55     		Fthrust : 0         		Fdrag : 169.79987 		m : 10.29525  		v : 469.01171 		Mach : 1.58744   		a : -26.33542 		altitude : 10935.83454		twr : 0.0       	
	t : 36.56     		Fthrust : 0         		Fdrag : 169.46726 		m : 10.29525  		v : 468.74868 		Mach : 1.58666   		a : -26.30303 		altitude : 10940.52334		twr : 0.0       	
	t : 36.57     		Fthrust : 0         		Fdrag : 169.13546 		m : 10.29525  		v : 468.48598 		Mach : 1.58588   		a : -26.27072 		altitude : 10945.20951		twr : 0.0       	
	t : 36.58     		Fthrust : 0         		Fdrag : 168.80448 		m : 10.29525  		v : 468.22359 		Mach : 1.58511   		a : -26.2385  		altitude : 10949.89306		twr : 0.0       	
	t : 36.59     		Fthrust : 0         		Fdrag : 168.47431 		m : 10.29525  		v : 467.96153 		Mach : 1.58433   		a : -26.20635 		altitude : 10954.57399		twr : 0.0       	
	t : 36.6      		Fthrust : 0         		Fdrag : 168.14494 		m : 10.29525  		v : 467.69978 		Mach : 1.58356   		a : -26.17428 		altitude : 10959.25229		twr : 0.0       	
	t : 36.61     		Fthrust : 0         		Fdrag : 167.81638 		m : 10.29525  		v : 467.43836 		Mach : 1.58278   		a : -26.14228 		altitude : 10963.92798		twr : 0.0       	
	t : 36.62     		Fthrust : 0         		Fdrag : 167.48862 		m : 10.29525  		v : 467.17726 		Mach : 1.58201   		a : -26.11037 		altitude : 10968.60106		twr : 0.0       	
	t : 36.63     		Fthrust : 0         		Fdrag : 167.16166 		m : 10.29525  		v : 466.91647 		Mach : 1.58123   		a : -26.07853 		altitude : 10973.27153		twr : 0.0       	
	t : 36.64     		Fthrust : 0         		Fdrag : 166.83549 		m : 10.29525  		v : 466.656   		Mach : 1.58046   		a : -26.04678 		altitude : 10977.93939		twr : 0.0       	
	t : 36.65     		Fthrust : 0         		Fdrag : 166.51012 		m : 10.29525  		v : 466.39585 		Mach : 1.57969   		a : -26.0151  		altitude : 10982.60465		twr : 0.0       	
	t : 36.66     		Fthrust : 0         		Fdrag : 166.18555 		m : 10.29525  		v : 466.13602 		Mach : 1.57892   		a : -25.98349 		altitude : 10987.26731		twr : 0.0       	
	t : 36.67     		Fthrust : 0         		Fdrag : 165.86176 		m : 10.29525  		v : 465.8765  		Mach : 1.57815   		a : -25.95197 		altitude : 10991.92737		twr : 0.0       	
	t : 36.68     		Fthrust : 0         		Fdrag : 165.53876 		m : 10.29525  		v : 465.61729 		Mach : 1.57739   		a : -25.92051 		altitude : 10996.58484		twr : 0.0       	
	t : 36.69     		Fthrust : 0         		Fdrag : 165.21654 		m : 10.29525  		v : 465.3584  		Mach : 1.57662   		a : -25.88914 		altitude : 11001.23972		twr : 0.0       	
	t : 36.7      		Fthrust : 0         		Fdrag : 164.75425 		m : 10.29525  		v : 465.09982 		Mach : 1.57677   		a : -25.85784 		altitude : 11005.89201		twr : 0.0       	
	t : 36.71     		Fthrust : 0         		Fdrag : 164.45065 		m : 10.29525  		v : 464.84169 		Mach : 1.57589   		a : -25.81294 		altitude : 11010.54172		twr : 0.0       	
	t : 36.72     		Fthrust : 0         		Fdrag : 164.14779 		m : 10.29525  		v : 464.58386 		Mach : 1.57502   		a : -25.78345 		altitude : 11015.18885		twr : 0.0       	
	t : 36.73     		Fthrust : 0         		Fdrag : 163.84566 		m : 10.29525  		v : 464.32632 		Mach : 1.57415   		a : -25.75403 		altitude : 11019.8334		twr : 0.0       	
	t : 36.74     		Fthrust : 0         		Fdrag : 163.54426 		m : 10.29525  		v : 464.06907 		Mach : 1.57327   		a : -25.72469 		altitude : 11024.47538		twr : 0.0       	
	t : 36.75     		Fthrust : 0         		Fdrag : 163.24359 		m : 10.29525  		v : 463.81212 		Mach : 1.5724    		a : -25.69541 		altitude : 11029.11478		twr : 0.0       	
	t : 36.76     		Fthrust : 0         		Fdrag : 162.94364 		m : 10.29525  		v : 463.55546 		Mach : 1.57153   		a : -25.66621 		altitude : 11033.75162		twr : 0.0       	
	t : 36.77     		Fthrust : 0         		Fdrag : 162.64441 		m : 10.29525  		v : 463.29909 		Mach : 1.57066   		a : -25.63707 		altitude : 11038.38589		twr : 0.0       	
	t : 36.78     		Fthrust : 0         		Fdrag : 162.3459  		m : 10.29525  		v : 463.04301 		Mach : 1.5698    		a : -25.60801 		altitude : 11043.0176		twr : 0.0       	
	t : 36.79     		Fthrust : 0         		Fdrag : 162.04811 		m : 10.29525  		v : 462.78722 		Mach : 1.56893   		a : -25.57901 		altitude : 11047.64675		twr : 0.0       	
	t : 36.8      		Fthrust : 0         		Fdrag : 161.75103 		m : 10.29525  		v : 462.53172 		Mach : 1.56806   		a : -25.55009 		altitude : 11052.27335		twr : 0.0       	
	t : 36.81     		Fthrust : 0         		Fdrag : 161.45467 		m : 10.29525  		v : 462.2765  		Mach : 1.5672    		a : -25.52123 		altitude : 11056.89739		twr : 0.0       	
	t : 36.82     		Fthrust : 0         		Fdrag : 161.15902 		m : 10.29525  		v : 462.02158 		Mach : 1.56633   		a : -25.49244 		altitude : 11061.51888		twr : 0.0       	
	t : 36.83     		Fthrust : 0         		Fdrag : 160.86407 		m : 10.29525  		v : 461.76694 		Mach : 1.56547   		a : -25.46373 		altitude : 11066.13782		twr : 0.0       	
	t : 36.84     		Fthrust : 0         		Fdrag : 160.56983 		m : 10.29525  		v : 461.51259 		Mach : 1.56461   		a : -25.43508 		altitude : 11070.75422		twr : 0.0       	
	t : 36.85     		Fthrust : 0         		Fdrag : 160.2763  		m : 10.29525  		v : 461.25853 		Mach : 1.56375   		a : -25.4065  		altitude : 11075.36808		twr : 0.0       	
	t : 36.86     		Fthrust : 0         		Fdrag : 159.98346 		m : 10.29525  		v : 461.00475 		Mach : 1.56289   		a : -25.37799 		altitude : 11079.97939		twr : 0.0       	
	t : 36.87     		Fthrust : 0         		Fdrag : 159.69133 		m : 10.29525  		v : 460.75125 		Mach : 1.56203   		a : -25.34954 		altitude : 11084.58817		twr : 0.0       	
	t : 36.88     		Fthrust : 0         		Fdrag : 159.39989 		m : 10.29525  		v : 460.49804 		Mach : 1.56117   		a : -25.32117 		altitude : 11089.19442		twr : 0.0       	
	t : 36.89     		Fthrust : 0         		Fdrag : 159.10915 		m : 10.29525  		v : 460.24511 		Mach : 1.56031   		a : -25.29286 		altitude : 11093.79813		twr : 0.0       	
	t : 36.9      		Fthrust : 0         		Fdrag : 158.8191  		m : 10.29525  		v : 459.99246 		Mach : 1.55945   		a : -25.26462 		altitude : 11098.39932		twr : 0.0       	
	t : 36.91     		Fthrust : 0         		Fdrag : 158.52974 		m : 10.29525  		v : 459.7401  		Mach : 1.5586    		a : -25.23645 		altitude : 11102.99798		twr : 0.0       	
	t : 36.92     		Fthrust : 0         		Fdrag : 158.24107 		m : 10.29525  		v : 459.48802 		Mach : 1.55774   		a : -25.20834 		altitude : 11107.59413		twr : 0.0       	
	t : 36.93     		Fthrust : 0         		Fdrag : 157.95309 		m : 10.29525  		v : 459.23621 		Mach : 1.55689   		a : -25.1803  		altitude : 11112.18775		twr : 0.0       	
	t : 36.94     		Fthrust : 0         		Fdrag : 157.66579 		m : 10.29525  		v : 458.98469 		Mach : 1.55604   		a : -25.15233 		altitude : 11116.77885		twr : 0.0       	
	t : 36.95     		Fthrust : 0         		Fdrag : 157.37917 		m : 10.29525  		v : 458.73345 		Mach : 1.55519   		a : -25.12442 		altitude : 11121.36744		twr : 0.0       	
	t : 36.96     		Fthrust : 0         		Fdrag : 157.09324 		m : 10.29525  		v : 458.48248 		Mach : 1.55433   		a : -25.09658 		altitude : 11125.95352		twr : 0.0       	
	t : 36.97     		Fthrust : 0         		Fdrag : 156.80798 		m : 10.29525  		v : 458.23179 		Mach : 1.55348   		a : -25.06881 		altitude : 11130.53709		twr : 0.0       	
	t : 36.98     		Fthrust : 0         		Fdrag : 156.52339 		m : 10.29525  		v : 457.98138 		Mach : 1.55264   		a : -25.0411  		altitude : 11135.11816		twr : 0.0       	
	t : 36.99     		Fthrust : 0         		Fdrag : 156.23948 		m : 10.29525  		v : 457.73125 		Mach : 1.55179   		a : -25.01346 		altitude : 11139.69672		twr : 0.0       	
	t : 37.0      		Fthrust : 0         		Fdrag : 155.95624 		m : 10.29525  		v : 457.48139 		Mach : 1.55094   		a : -24.98588 		altitude : 11144.27278		twr : 0.0       	
	t : 37.01     		Fthrust : 0         		Fdrag : 155.67367 		m : 10.29525  		v : 457.2318  		Mach : 1.55009   		a : -24.95837 		altitude : 11148.84635		twr : 0.0       	
	t : 37.02     		Fthrust : 0         		Fdrag : 155.39177 		m : 10.29525  		v : 456.98249 		Mach : 1.54925   		a : -24.93092 		altitude : 11153.41742		twr : 0.0       	
	t : 37.03     		Fthrust : 0         		Fdrag : 155.11053 		m : 10.29525  		v : 456.73346 		Mach : 1.5484    		a : -24.90354 		altitude : 11157.986 		twr : 0.0       	
	t : 37.04     		Fthrust : 0         		Fdrag : 154.82996 		m : 10.29525  		v : 456.4847  		Mach : 1.54756   		a : -24.87622 		altitude : 11162.55209		twr : 0.0       	
	t : 37.05     		Fthrust : 0         		Fdrag : 154.55005 		m : 10.29525  		v : 456.23621 		Mach : 1.54672   		a : -24.84897 		altitude : 11167.1157		twr : 0.0       	
	t : 37.06     		Fthrust : 0         		Fdrag : 154.27079 		m : 10.29525  		v : 455.98799 		Mach : 1.54588   		a : -24.82178 		altitude : 11171.67682		twr : 0.0       	
	t : 37.07     		Fthrust : 0         		Fdrag : 153.99219 		m : 10.29525  		v : 455.74004 		Mach : 1.54504   		a : -24.79466 		altitude : 11176.23546		twr : 0.0       	
	t : 37.08     		Fthrust : 0         		Fdrag : 153.71425 		m : 10.29525  		v : 455.49237 		Mach : 1.5442    		a : -24.7676  		altitude : 11180.79162		twr : 0.0       	
	t : 37.09     		Fthrust : 0         		Fdrag : 153.43696 		m : 10.29525  		v : 455.24496 		Mach : 1.54336   		a : -24.7406  		altitude : 11185.34531		twr : 0.0       	
	t : 37.1      		Fthrust : 0         		Fdrag : 153.16032 		m : 10.29525  		v : 454.99782 		Mach : 1.54252   		a : -24.71367 		altitude : 11189.89652		twr : 0.0       	
	t : 37.11     		Fthrust : 0         		Fdrag : 152.88434 		m : 10.29525  		v : 454.75096 		Mach : 1.54168   		a : -24.6868  		altitude : 11194.44527		twr : 0.0       	
	t : 37.12     		Fthrust : 0         		Fdrag : 152.60899 		m : 10.29525  		v : 454.50436 		Mach : 1.54085   		a : -24.65999 		altitude : 11198.99154		twr : 0.0       	
	t : 37.13     		Fthrust : 0         		Fdrag : 152.33429 		m : 10.29525  		v : 454.25802 		Mach : 1.54001   		a : -24.63324 		altitude : 11203.53535		twr : 0.0       	
	t : 37.14     		Fthrust : 0         		Fdrag : 152.06024 		m : 10.29525  		v : 454.01196 		Mach : 1.53918   		a : -24.60656 		altitude : 11208.0767		twr : 0.0       	
	t : 37.15     		Fthrust : 0         		Fdrag : 151.78683 		m : 10.29525  		v : 453.76616 		Mach : 1.53835   		a : -24.57994 		altitude : 11212.61559		twr : 0.0       	
	t : 37.16     		Fthrust : 0         		Fdrag : 151.51405 		m : 10.29525  		v : 453.52062 		Mach : 1.53751   		a : -24.55339 		altitude : 11217.15203		twr : 0.0       	
	t : 37.17     		Fthrust : 0         		Fdrag : 151.24191 		m : 10.29525  		v : 453.27536 		Mach : 1.53668   		a : -24.52689 		altitude : 11221.68601		twr : 0.0       	
	t : 37.18     		Fthrust : 0         		Fdrag : 150.97041 		m : 10.29525  		v : 453.03035 		Mach : 1.53585   		a : -24.50046 		altitude : 11226.21754		twr : 0.0       	
	t : 37.19     		Fthrust : 0         		Fdrag : 150.69954 		m : 10.29525  		v : 452.78561 		Mach : 1.53502   		a : -24.47409 		altitude : 11230.74662		twr : 0.0       	
	t : 37.2      		Fthrust : 0         		Fdrag : 150.4293  		m : 10.29525  		v : 452.54113 		Mach : 1.53419   		a : -24.44778 		altitude : 11235.27325		twr : 0.0       	
	t : 37.21     		Fthrust : 0         		Fdrag : 150.15969 		m : 10.29525  		v : 452.29692 		Mach : 1.53336   		a : -24.42153 		altitude : 11239.79744		twr : 0.0       	
	t : 37.22     		Fthrust : 0         		Fdrag : 149.89071 		m : 10.29525  		v : 452.05296 		Mach : 1.53254   		a : -24.39534 		altitude : 11244.31919		twr : 0.0       	
	t : 37.23     		Fthrust : 0         		Fdrag : 149.62235 		m : 10.29525  		v : 451.80927 		Mach : 1.53171   		a : -24.36921 		altitude : 11248.8385		twr : 0.0       	
	t : 37.24     		Fthrust : 0         		Fdrag : 149.35462 		m : 10.29525  		v : 451.56584 		Mach : 1.53089   		a : -24.34315 		altitude : 11253.35538		twr : 0.0       	
	t : 37.25     		Fthrust : 0         		Fdrag : 149.08751 		m : 10.29525  		v : 451.32267 		Mach : 1.53006   		a : -24.31714 		altitude : 11257.86982		twr : 0.0       	
	t : 37.26     		Fthrust : 0         		Fdrag : 148.82101 		m : 10.29525  		v : 451.07976 		Mach : 1.52924   		a : -24.29119 		altitude : 11262.38183		twr : 0.0       	
	t : 37.27     		Fthrust : 0         		Fdrag : 148.55514 		m : 10.29525  		v : 450.8371  		Mach : 1.52842   		a : -24.26531 		altitude : 11266.89142		twr : 0.0       	
	t : 37.28     		Fthrust : 0         		Fdrag : 148.28988 		m : 10.29525  		v : 450.59471 		Mach : 1.52759   		a : -24.23948 		altitude : 11271.39857		twr : 0.0       	
	t : 37.29     		Fthrust : 0         		Fdrag : 148.02524 		m : 10.29525  		v : 450.35257 		Mach : 1.52677   		a : -24.21372 		altitude : 11275.90331		twr : 0.0       	
	t : 37.3      		Fthrust : 0         		Fdrag : 147.7612  		m : 10.29525  		v : 450.11069 		Mach : 1.52595   		a : -24.18801 		altitude : 11280.40563		twr : 0.0       	
	t : 37.31     		Fthrust : 0         		Fdrag : 147.49778 		m : 10.29525  		v : 449.86907 		Mach : 1.52513   		a : -24.16237 		altitude : 11284.90553		twr : 0.0       	
	t : 37.32     		Fthrust : 0         		Fdrag : 147.23497 		m : 10.29525  		v : 449.6277  		Mach : 1.52432   		a : -24.13678 		altitude : 11289.40301		twr : 0.0       	
	t : 37.33     		Fthrust : 0         		Fdrag : 146.97276 		m : 10.29525  		v : 449.38659 		Mach : 1.5235    		a : -24.11125 		altitude : 11293.89808		twr : 0.0       	
	t : 37.34     		Fthrust : 0         		Fdrag : 146.71116 		m : 10.29525  		v : 449.14573 		Mach : 1.52268   		a : -24.08578 		altitude : 11298.39074		twr : 0.0       	
	t : 37.35     		Fthrust : 0         		Fdrag : 146.45016 		m : 10.29525  		v : 448.90513 		Mach : 1.52187   		a : -24.06037 		altitude : 11302.881 		twr : 0.0       	
	t : 37.36     		Fthrust : 0         		Fdrag : 146.18976 		m : 10.29525  		v : 448.66478 		Mach : 1.52105   		a : -24.03502 		altitude : 11307.36885		twr : 0.0       	
	t : 37.37     		Fthrust : 0         		Fdrag : 145.92996 		m : 10.29525  		v : 448.42468 		Mach : 1.52024   		a : -24.00973 		altitude : 11311.85429		twr : 0.0       	
	t : 37.38     		Fthrust : 0         		Fdrag : 145.67076 		m : 10.29525  		v : 448.18483 		Mach : 1.51942   		a : -23.9845  		altitude : 11316.33734		twr : 0.0       	
	t : 37.39     		Fthrust : 0         		Fdrag : 145.41215 		m : 10.29525  		v : 447.94524 		Mach : 1.51861   		a : -23.95932 		altitude : 11320.81799		twr : 0.0       	
	t : 37.4      		Fthrust : 0         		Fdrag : 145.15414 		m : 10.29525  		v : 447.7059  		Mach : 1.5178    		a : -23.9342  		altitude : 11325.29625		twr : 0.0       	
	t : 37.41     		Fthrust : 0         		Fdrag : 144.89672 		m : 10.29525  		v : 447.46681 		Mach : 1.51699   		a : -23.90914 		altitude : 11329.77211		twr : 0.0       	
	t : 37.42     		Fthrust : 0         		Fdrag : 144.63989 		m : 10.29525  		v : 447.22797 		Mach : 1.51618   		a : -23.88413 		altitude : 11334.24558		twr : 0.0       	
	t : 37.43     		Fthrust : 0         		Fdrag : 144.38365 		m : 10.29525  		v : 446.98937 		Mach : 1.51537   		a : -23.85919 		altitude : 11338.71667		twr : 0.0       	
	t : 37.44     		Fthrust : 0         		Fdrag : 144.12799 		m : 10.29525  		v : 446.75103 		Mach : 1.51456   		a : -23.8343  		altitude : 11343.18537		twr : 0.0       	
	t : 37.45     		Fthrust : 0         		Fdrag : 143.87292 		m : 10.29525  		v : 446.51294 		Mach : 1.51376   		a : -23.80947 		altitude : 11347.65169		twr : 0.0       	
	t : 37.46     		Fthrust : 0         		Fdrag : 143.61843 		m : 10.29525  		v : 446.27509 		Mach : 1.51295   		a : -23.78469 		altitude : 11352.11563		twr : 0.0       	
	t : 37.47     		Fthrust : 0         		Fdrag : 143.36453 		m : 10.29525  		v : 446.03749 		Mach : 1.51214   		a : -23.75997 		altitude : 11356.5772		twr : 0.0       	
	t : 37.48     		Fthrust : 0         		Fdrag : 143.1112  		m : 10.29525  		v : 445.80014 		Mach : 1.51134   		a : -23.73531 		altitude : 11361.03638		twr : 0.0       	
	t : 37.49     		Fthrust : 0         		Fdrag : 142.85845 		m : 10.29525  		v : 445.56303 		Mach : 1.51054   		a : -23.7107  		altitude : 11365.4932		twr : 0.0       	
	t : 37.5      		Fthrust : 0         		Fdrag : 142.60628 		m : 10.29525  		v : 445.32617 		Mach : 1.50973   		a : -23.68615 		altitude : 11369.94765		twr : 0.0       	
	t : 37.51     		Fthrust : 0         		Fdrag : 142.35469 		m : 10.29525  		v : 445.08955 		Mach : 1.50893   		a : -23.66166 		altitude : 11374.39972		twr : 0.0       	
	t : 37.52     		Fthrust : 0         		Fdrag : 142.10366 		m : 10.29525  		v : 444.85318 		Mach : 1.50813   		a : -23.63722 		altitude : 11378.84944		twr : 0.0       	
	t : 37.53     		Fthrust : 0         		Fdrag : 141.85321 		m : 10.29525  		v : 444.61705 		Mach : 1.50733   		a : -23.61284 		altitude : 11383.29679		twr : 0.0       	
	t : 37.54     		Fthrust : 0         		Fdrag : 141.60332 		m : 10.29525  		v : 444.38116 		Mach : 1.50653   		a : -23.58851 		altitude : 11387.74178		twr : 0.0       	
	t : 37.55     		Fthrust : 0         		Fdrag : 141.35401 		m : 10.29525  		v : 444.14552 		Mach : 1.50573   		a : -23.56424 		altitude : 11392.18441		twr : 0.0       	
	t : 37.56     		Fthrust : 0         		Fdrag : 141.10526 		m : 10.29525  		v : 443.91012 		Mach : 1.50493   		a : -23.54002 		altitude : 11396.62469		twr : 0.0       	
	t : 37.57     		Fthrust : 0         		Fdrag : 140.85707 		m : 10.29525  		v : 443.67496 		Mach : 1.50413   		a : -23.51586 		altitude : 11401.06262		twr : 0.0       	
	t : 37.58     		Fthrust : 0         		Fdrag : 140.60945 		m : 10.29525  		v : 443.44005 		Mach : 1.50334   		a : -23.49175 		altitude : 11405.49819		twr : 0.0       	
	t : 37.59     		Fthrust : 0         		Fdrag : 140.36239 		m : 10.29525  		v : 443.20537 		Mach : 1.50254   		a : -23.4677  		altitude : 11409.93142		twr : 0.0       	
	t : 37.6      		Fthrust : 0         		Fdrag : 140.11588 		m : 10.29525  		v : 442.97093 		Mach : 1.50175   		a : -23.4437  		altitude : 11414.3623		twr : 0.0       	
	t : 37.61     		Fthrust : 0         		Fdrag : 139.86994 		m : 10.29525  		v : 442.73673 		Mach : 1.50095   		a : -23.41976 		altitude : 11418.79084		twr : 0.0       	
	t : 37.62     		Fthrust : 0         		Fdrag : 139.62455 		m : 10.29525  		v : 442.50278 		Mach : 1.50016   		a : -23.39587 		altitude : 11423.21704		twr : 0.0       	
	t : 37.63     		Fthrust : 0         		Fdrag : 139.37971 		m : 10.29525  		v : 442.26906 		Mach : 1.49937   		a : -23.37204 		altitude : 11427.6409		twr : 0.0       	
	t : 37.64     		Fthrust : 0         		Fdrag : 139.13543 		m : 10.29525  		v : 442.03557 		Mach : 1.49858   		a : -23.34826 		altitude : 11432.06242		twr : 0.0       	
	t : 37.65     		Fthrust : 0         		Fdrag : 138.8917  		m : 10.29525  		v : 441.80233 		Mach : 1.49779   		a : -23.32453 		altitude : 11436.48161		twr : 0.0       	
	t : 37.66     		Fthrust : 0         		Fdrag : 138.64852 		m : 10.29525  		v : 441.56932 		Mach : 1.497     		a : -23.30085 		altitude : 11440.89847		twr : 0.0       	
	t : 37.67     		Fthrust : 0         		Fdrag : 138.40588 		m : 10.29525  		v : 441.33655 		Mach : 1.49621   		a : -23.27723 		altitude : 11445.313 		twr : 0.0       	
	t : 37.68     		Fthrust : 0         		Fdrag : 138.16379 		m : 10.29525  		v : 441.10401 		Mach : 1.49542   		a : -23.25367 		altitude : 11449.7252		twr : 0.0       	
	t : 37.69     		Fthrust : 0         		Fdrag : 137.92225 		m : 10.29525  		v : 440.87171 		Mach : 1.49463   		a : -23.23015 		altitude : 11454.13508		twr : 0.0       	
	t : 37.7      		Fthrust : 0         		Fdrag : 137.68125 		m : 10.29525  		v : 440.63964 		Mach : 1.49384   		a : -23.20669 		altitude : 11458.54263		twr : 0.0       	
	t : 37.71     		Fthrust : 0         		Fdrag : 137.44079 		m : 10.29525  		v : 440.40781 		Mach : 1.49306   		a : -23.18328 		altitude : 11462.94787		twr : 0.0       	
	t : 37.72     		Fthrust : 0         		Fdrag : 137.20087 		m : 10.29525  		v : 440.17621 		Mach : 1.49227   		a : -23.15992 		altitude : 11467.35079		twr : 0.0       	
	t : 37.73     		Fthrust : 0         		Fdrag : 136.96149 		m : 10.29525  		v : 439.94484 		Mach : 1.49149   		a : -23.13662 		altitude : 11471.7514		twr : 0.0       	
