t,Fthrust,Fdrag,m,v,Mach,a,altitude,twr,maxV,maxMach,maxAcc,minAcc,maxG,minG
0.59,500.0,0.52672,15.81041,12.8078,0.03769,21.77933,116.7738,3.2234,12.8078,0.03769,21.77933,0,2.22087,0
0.6,500.0,0.54478,15.80881,13.02562,0.03833,21.78141,116.90297,3.22372,13.02562,0.03833,21.78141,0,2.22109,0
0.61,500.0,0.56315,15.80721,13.24345,0.03897,21.78347,117.03431,3.22405,13.24345,0.03897,21.78347,0,2.2213,0
0.62,500.0,0.58182,15.80561,13.46131,0.03961,21.78551,117.16783,3.22438,13.46131,0.03961,21.78551,0,2.2215,0
0.63,500.0,0.6008,15.804,13.67918,0.04025,21.78753,117.30354,3.2247,13.67918,0.04025,21.78753,0,2.22171,0
0.64,500.0,0.62008,15.8024,13.89708,0.04089,21.78954,117.44142,3.22503,13.89708,0.04089,21.78954,0,2.22191,0
0.65,500.0,0.63967,15.8008,14.11499,0.04153,21.79152,117.58148,3.22536,14.11499,0.04153,21.79152,0,2.22212,0
0.66,500.0,0.65957,15.79919,14.33293,0.04218,21.79349,117.72372,3.22569,14.33293,0.04218,21.79349,0,2.22232,0
0.67,500.0,0.67977,15.79759,14.55088,0.04282,21.79543,117.86814,3.22601,14.55088,0.04282,21.79543,0,2.22252,0
0.68,500.0,0.70028,15.79599,14.76886,0.04346,21.79736,118.01474,3.22634,14.76886,0.04346,21.79736,0,2.22271,0
0.69,500.0,0.7211,15.79439,14.98685,0.0441,21.79927,118.16351,3.22667,14.98685,0.0441,21.79927,0,2.22291,0
0.7,500.0,0.74222,15.79278,15.20486,0.04474,21.80116,118.31447,3.22699,15.20486,0.04474,21.80116,0,2.2231,0
0.71,500.0,0.76365,15.79118,15.42289,0.04538,21.80303,118.46761,3.22732,15.42289,0.04538,21.80303,0,2.22329,0
0.72,500.0,0.78538,15.78958,15.64094,0.04603,21.80488,118.62293,3.22765,15.64094,0.04603,21.80488,0,2.22348,0
0.73,500.0,0.80742,15.78798,15.85901,0.04667,21.80672,118.78043,3.22798,15.85901,0.04667,21.80672,0,2.22367,0
